"city","year","month","temperature_mean","date"
"Stockholm",2021,1,-2.04408602150538,2021-01-01
"Stockholm",2021,2,-3.18184523809524,2021-02-01
"Stockholm",2021,3,2.52983870967742,2021-03-01
"Stockholm",2021,4,4.21625,2021-04-01
"Stockholm",2021,5,9.69516129032258,2021-05-01
"Stockholm",2021,6,18.1084722222222,2021-06-01
"Stockholm",2021,7,19.9415322580645,2021-07-01
"Stockholm",2021,8,14.9323924731183,2021-08-01
"Stockholm",2021,9,11.8261111111111,2021-09-01
"Stockholm",2021,10,8.54475806451613,2021-10-01
"Stockholm",2021,11,2.78111111111111,2021-11-01
"Stockholm",2021,12,-2.82405913978495,2021-12-01
"Stockholm",2022,1,-0.311962365591398,2022-01-01
"Stockholm",2022,2,-0.0982142857142857,2022-02-01
"Stockholm",2022,3,2.26532258064516,2022-03-01
"Stockholm",2022,4,4.32680555555556,2022-04-01
"Stockholm",2022,5,10.3041666666667,2022-05-01
"Stockholm",2022,6,16.6723611111111,2022-06-01
"Stockholm",2022,7,17.4451612903226,2022-07-01
"Stockholm",2022,8,18.5356182795699,2022-08-01
"Stockholm",2022,9,10.7715277777778,2022-09-01
"Stockholm",2022,10,9.11774193548387,2022-10-01
"Stockholm",2022,11,4.7875,2022-11-01
"Stockholm",2022,12,-2.44112903225806,2022-12-01
"Stockholm",2023,1,0.294489247311828,2023-01-01
"Stockholm",2023,2,-0.511607142857143,2023-02-01
"Stockholm",2023,3,-0.712365591397849,2023-03-01
"Stockholm",2023,4,4.31305555555556,2023-04-01
"Stockholm",2023,5,11.0795698924731,2023-05-01
"Stockholm",2023,6,17.0788888888889,2023-06-01
"Stockholm",2023,7,16.8168010752688,2023-07-01
"Stockholm",2023,8,16.3897849462366,2023-08-01
"Stockholm",2023,9,15.2854166666667,2023-09-01
"Stockholm",2023,10,6.51572580645161,2023-10-01
"Stockholm",2023,11,1.14069444444444,2023-11-01
"Stockholm",2023,12,-2.79059139784946,2023-12-01
"Stockholm",2024,1,-3.80618279569892,2024-01-01
"Stockholm",2024,2,-0.24066091954023,2024-02-01
"Stockholm",2024,3,2.13991935483871,2024-03-01
"Stockholm",2024,4,4.30694444444444,2024-04-01
"Stockholm",2024,5,13.2662634408602,2024-05-01
"Stockholm",2024,6,16.4977777777778,2024-06-01
"Stockholm",2024,7,17.8399193548387,2024-07-01
"Stockholm",2024,8,17.7576612903226,2024-08-01
"Stockholm",2024,9,13.9506944444444,2024-09-01
"Stockholm",2024,10,9.08884408602151,2024-10-01
"Stockholm",2024,11,3.34097222222222,2024-11-01
"Stockholm",2024,12,1.18870967741935,2024-12-01
"Stockholm",2025,1,-0.59005376344086,2025-01-01
"Stockholm",2025,2,-1.37633928571429,2025-02-01
"Stockholm",2025,3,3.98481182795699,2025-03-01
"Stockholm",2025,4,7.42194444444444,2025-04-01
"Stockholm",2025,5,9.85927419354839,2025-05-01
"Stockholm",2025,6,15.6340277777778,2025-06-01
"Stockholm",2025,7,19.2631720430108,2025-07-01
"Stockholm",2025,8,16.0219086021505,2025-08-01
"Stockholm",2025,9,14.6223611111111,2025-09-01
"Stockholm",2025,10,8.11115591397849,2025-10-01
"Stockholm",2025,11,3.41791666666667,2025-11-01
"Stockholm",2025,12,3.14690860215054,2025-12-01
