"city","year","month","precipitation_total","date"
"Stockholm",2021,1,72.2,2021-01-01
"Stockholm",2021,2,14.7,2021-02-01
"Stockholm",2021,3,21.5,2021-03-01
"Stockholm",2021,4,31.7,2021-04-01
"Stockholm",2021,5,130.5,2021-05-01
"Stockholm",2021,6,66.7,2021-06-01
"Stockholm",2021,7,57.8,2021-07-01
"Stockholm",2021,8,135.8,2021-08-01
"Stockholm",2021,9,29.1,2021-09-01
"Stockholm",2021,10,51.3,2021-10-01
"Stockholm",2021,11,28.9,2021-11-01
"Stockholm",2021,12,31.2,2021-12-01
"Stockholm",2022,1,57.8,2022-01-01
"Stockholm",2022,2,57.9,2022-02-01
"Stockholm",2022,3,3.8,2022-03-01
"Stockholm",2022,4,34.1,2022-04-01
"Stockholm",2022,5,57.5,2022-05-01
"Stockholm",2022,6,83.3,2022-06-01
"Stockholm",2022,7,47.8,2022-07-01
"Stockholm",2022,8,91.5,2022-08-01
"Stockholm",2022,9,40.5,2022-09-01
"Stockholm",2022,10,41.2,2022-10-01
"Stockholm",2022,11,51.1,2022-11-01
"Stockholm",2022,12,35,2022-12-01
"Stockholm",2023,1,67.6,2023-01-01
"Stockholm",2023,2,35,2023-02-01
"Stockholm",2023,3,75.7,2023-03-01
"Stockholm",2023,4,17.2,2023-04-01
"Stockholm",2023,5,36.5,2023-05-01
"Stockholm",2023,6,43.2,2023-06-01
"Stockholm",2023,7,133.9,2023-07-01
"Stockholm",2023,8,114.4,2023-08-01
"Stockholm",2023,9,41,2023-09-01
"Stockholm",2023,10,75.9,2023-10-01
"Stockholm",2023,11,74.2,2023-11-01
"Stockholm",2023,12,57.4,2023-12-01
"Stockholm",2024,1,47.8,2024-01-01
"Stockholm",2024,2,57,2024-02-01
"Stockholm",2024,3,27.8,2024-03-01
"Stockholm",2024,4,62.3,2024-04-01
"Stockholm",2024,5,24,2024-05-01
"Stockholm",2024,6,69.5,2024-06-01
"Stockholm",2024,7,103.5,2024-07-01
"Stockholm",2024,8,37.9,2024-08-01
"Stockholm",2024,9,74.9,2024-09-01
"Stockholm",2024,10,75.5,2024-10-01
"Stockholm",2024,11,25.3,2024-11-01
"Stockholm",2024,12,42.4,2024-12-01
"Stockholm",2025,1,58.2,2025-01-01
"Stockholm",2025,2,4.8,2025-02-01
"Stockholm",2025,3,5.5,2025-03-01
"Stockholm",2025,4,15.1,2025-04-01
"Stockholm",2025,5,30.7,2025-05-01
"Stockholm",2025,6,65.5,2025-06-01
"Stockholm",2025,7,92.2,2025-07-01
"Stockholm",2025,8,71.3,2025-08-01
"Stockholm",2025,9,60,2025-09-01
"Stockholm",2025,10,69,2025-10-01
"Stockholm",2025,11,32.2,2025-11-01
"Stockholm",2025,12,38.8,2025-12-01
"Lille",2021,1,134.9,2021-01-01
"Lille",2021,2,39.1,2021-02-01
"Lille",2021,3,42.7,2021-03-01
"Lille",2021,4,22.4,2021-04-01
"Lille",2021,5,104.5,2021-05-01
"Lille",2021,6,138,2021-06-01
"Lille",2021,7,74.7,2021-07-01
"Lille",2021,8,70.1,2021-08-01
"Lille",2021,9,15.7,2021-09-01
"Lille",2021,10,95.5,2021-10-01
"Lille",2021,11,36.2,2021-11-01
"Lille",2021,12,69.8,2021-12-01
"Lille",2022,1,46.6,2022-01-01
"Lille",2022,2,52,2022-02-01
"Lille",2022,3,15.6,2022-03-01
"Lille",2022,4,23.6,2022-04-01
"Lille",2022,5,51.5,2022-05-01
"Lille",2022,6,62.1,2022-06-01
"Lille",2022,7,16.9,2022-07-01
"Lille",2022,8,42,2022-08-01
"Lille",2022,9,105.1,2022-09-01
"Lille",2022,10,67.8,2022-10-01
"Lille",2022,11,95.6,2022-11-01
"Lille",2022,12,99.2,2022-12-01
"Lille",2023,1,80.1,2023-01-01
"Lille",2023,2,9.2,2023-02-01
"Lille",2023,3,134.2,2023-03-01
"Lille",2023,4,75.9,2023-04-01
"Lille",2023,5,54.2,2023-05-01
"Lille",2023,6,65.8,2023-06-01
"Lille",2023,7,111,2023-07-01
"Lille",2023,8,88.4,2023-08-01
"Lille",2023,9,47.6,2023-09-01
"Lille",2023,10,130.5,2023-10-01
"Lille",2023,11,134.6,2023-11-01
"Lille",2023,12,84.3,2023-12-01
"Lille",2024,1,58,2024-01-01
"Lille",2024,2,111.1,2024-02-01
"Lille",2024,3,89.7,2024-03-01
"Lille",2024,4,90.1,2024-04-01
"Lille",2024,5,109.6,2024-05-01
"Lille",2024,6,63.8,2024-06-01
"Lille",2024,7,78.3,2024-07-01
"Lille",2024,8,78.3,2024-08-01
"Lille",2024,9,115.3,2024-09-01
"Lille",2024,10,75.1,2024-10-01
"Lille",2024,11,64,2024-11-01
"Lille",2024,12,52.1,2024-12-01
"Lille",2025,1,136.8,2025-01-01
"Lille",2025,2,49.1,2025-02-01
"Lille",2025,3,7.9,2025-03-01
"Lille",2025,4,18.1,2025-04-01
"Lille",2025,5,37.6,2025-05-01
"Lille",2025,6,38.3,2025-06-01
"Lille",2025,7,73.9,2025-07-01
"Lille",2025,8,27.1,2025-08-01
"Lille",2025,9,45.9,2025-09-01
"Lille",2025,10,62.8,2025-10-01
"Lille",2025,11,59.6,2025-11-01
"Lille",2025,12,40.6,2025-12-01
"Paris",2021,1,101.1,2021-01-01
"Paris",2021,2,46.4,2021-02-01
"Paris",2021,3,37.1,2021-03-01
"Paris",2021,4,28.4,2021-04-01
"Paris",2021,5,75.4,2021-05-01
"Paris",2021,6,95.5,2021-06-01
"Paris",2021,7,92.6,2021-07-01
"Paris",2021,8,24.8,2021-08-01
"Paris",2021,9,74.3,2021-09-01
"Paris",2021,10,73.1,2021-10-01
"Paris",2021,11,20.9,2021-11-01
"Paris",2021,12,84.8,2021-12-01
"Paris",2022,1,49.5,2022-01-01
"Paris",2022,2,27.3,2022-02-01
"Paris",2022,3,44,2022-03-01
"Paris",2022,4,52.8,2022-04-01
"Paris",2022,5,37.9,2022-05-01
"Paris",2022,6,93.4,2022-06-01
"Paris",2022,7,26.5,2022-07-01
"Paris",2022,8,49.4,2022-08-01
"Paris",2022,9,72.9,2022-09-01
"Paris",2022,10,92,2022-10-01
"Paris",2022,11,68.7,2022-11-01
"Paris",2022,12,98.4,2022-12-01
"Paris",2023,1,68.1,2023-01-01
"Paris",2023,2,4.3,2023-02-01
"Paris",2023,3,104.6,2023-03-01
"Paris",2023,4,76.1,2023-04-01
"Paris",2023,5,65.6,2023-05-01
"Paris",2023,6,57.4,2023-06-01
"Paris",2023,7,104.7,2023-07-01
"Paris",2023,8,121.6,2023-08-01
"Paris",2023,9,74,2023-09-01
"Paris",2023,10,98.7,2023-10-01
"Paris",2023,11,102.8,2023-11-01
"Paris",2023,12,71.1,2023-12-01
"Paris",2024,1,65,2024-01-01
"Paris",2024,2,105.1,2024-02-01
"Paris",2024,3,106.2,2024-03-01
"Paris",2024,4,88,2024-04-01
"Paris",2024,5,125.4,2024-05-01
"Paris",2024,6,105.3,2024-06-01
"Paris",2024,7,63.2,2024-07-01
"Paris",2024,8,134.9,2024-08-01
"Paris",2024,9,127.9,2024-09-01
"Paris",2024,10,117.9,2024-10-01
"Paris",2024,11,57.6,2024-11-01
"Paris",2024,12,55.6,2024-12-01
"Paris",2025,1,136.7,2025-01-01
"Paris",2025,2,50.3,2025-02-01
"Paris",2025,3,22.4,2025-03-01
"Paris",2025,4,29.3,2025-04-01
"Paris",2025,5,56.7,2025-05-01
"Paris",2025,6,58,2025-06-01
"Paris",2025,7,142.4,2025-07-01
