"event","model","accuracy","precision","recall","f1","auc"
"rain","Logistic Regression",0.7489,0.5705,0.348,0.4323,0.7613
"rain","Random Forest",0.7478,0.5594,0.386,0.4568,0.7555
"heavy_rain","Logistic Regression",0.9885,NA,0,NA,0.7428
"heavy_rain","Random Forest",0.9885,NA,0,NA,0.764
"storm","Logistic Regression",1,NA,NA,NA,NA
"storm","Random Forest",1,NA,NA,NA,NA
"snow","Logistic Regression",0.9896,0.4,0.1111,0.1739,0.9685
"snow","Random Forest",0.9896,0,0,NA,0.9467
"frost","Logistic Regression",0.95,0.7278,0.7572,0.7422,0.9802
"frost","Random Forest",0.9555,0.7738,0.7514,0.7625,0.9789
"heatwave","Logistic Regression",0.9769,0.8077,0.8607,0.8333,0.9922
"heatwave","Random Forest",0.9764,0.8062,0.8525,0.8287,0.9906
"fog","Logistic Regression",0.983,0.2,0.0357,0.0606,0.9216
"fog","Random Forest",0.9846,NA,0,NA,0.915
"drought_risk","Logistic Regression",0.9687,0.9,0.7267,0.8041,0.9892
"drought_risk","Random Forest",0.9687,0.8562,0.7764,0.8143,0.9885
